"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
169225;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;3;1;Valparaíso de Goiás;cancelado
169230;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;12;2;Novo Gama;cancelado
169231;dia 6;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;7;2;Brasília;cancelado
169249;dia 7;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;9.0;25;6;Águas Lindas de Goiás;cancelado
169253;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;6;1;Águas Lindas de Goiás;cancelado
169260;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;9;4;Águas Lindas de Goiás;cancelado
169270;dia 4;139.9;Ti5-BSB-FIBRA-300-MEGA_DESC20;9.0;6;3;Brasília;cancelado
169271;dia 4;169.9;ALLREDE-DP-400MEGA-FIBRA_DESC20;9.0;3;2;Águas Lindas de Goiás;cancelado
169287;dia 9;109.9;ALLREDE-DP-100MEGA-FIBRA-10DESC;9.0;5;2;Águas Lindas de Goiás;cancelado
169289;dia 4;139.9;Ti5-BSB-FIBRA-300-MEGA_DESC20;9.0;18;2;Brasília;cancelado
169294;dia 7;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;11;3;Brasília;cancelado
169306;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;18;1;Valparaíso de Goiás;cancelado
169320;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;16;5;Valparaíso de Goiás;cancelado
169326;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;7;2;Águas Lindas de Goiás;cancelado
169328;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;13;2;Valparaíso de Goiás;cancelado
169336;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;2;0;Valparaíso de Goiás;cancelado
169354;dia 6;99.9;(Migrado - OBTI) 250MEGA - FTTH - NOVO GAMA;9.0;5;1;Brasília;cancelado
169355;dia 5;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;11;2;Águas Lindas de Goiás;cancelado
169356;dia 6;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;2;0;Águas Lindas de Goiás;cancelado
169357;dia 4;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;9.0;7;3;Águas Lindas de Goiás;cancelado
169358;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;8;2;Brasília;cancelado
169369;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;20;3;Brasília;cancelado
169371;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;11;1;Águas Lindas de Goiás;cancelado
169381;dia 6;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;18;2;Valparaíso de Goiás;cancelado
169383;dia 9;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;9;3;Valparaíso de Goiás;cancelado
169385;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;5;1;Brasília;cancelado
169389;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;12;3;Águas Lindas de Goiás;cancelado
169393;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;4;1;Águas Lindas de Goiás;cancelado
169398;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;4;2;Águas Lindas de Goiás;cancelado
169399;dia 9;169.9;Ti7-Combo-VIP-400-MEGA;9.0;4;1;Águas Lindas de Goiás;cancelado
169406;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;10;3;Brasília;cancelado
169410;dia 6;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;7;2;Brasília;cancelado
169421;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;6;4;Águas Lindas de Goiás;cancelado
169429;dia 5;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;4;1;Brasília;cancelado
169449;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;30;2;Valparaíso de Goiás;cancelado
169464;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;8;2;Águas Lindas de Goiás;cancelado
169471;dia 4;169.9;TiLog-BSB-Combo-VIP-400-MEGA_DESC20;9.0;19;2;Brasília;cancelado
169472;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;19;2;Brasília;cancelado
169474;dia 14;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;41;3;Águas Lindas de Goiás;cancelado
169484;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;10;3;Águas Lindas de Goiás;cancelado
169486;dia 4;139.9;TI9-FIBRA-300-MEGA_DESC20;9.0;1;1;Brasília;cancelado
169493;dia 4;139.9;TiLogBSB-FIBRA-300-MEGA_DESC20;9.0;11;2;Brasília;cancelado
169496;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;27;3;Novo Gama;cancelado
169498;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;4;1;Brasília;cancelado
169504;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - OCIDENTAL;9.0;28;4;Cidade Ocidental;cancelado
169510;dia 7;109.9;Ti5-Combo-100-MEGA_DESC10;9.0;14;1;Águas Lindas de Goiás;cancelado
169511;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;7;1;Águas Lindas de Goiás;cancelado
169512;dia 6;119.9;(Migrado - OBTI) 350MEGA - FTTH - OCIDENTAL;9.0;7;3;Cidade Ocidental;cancelado
169513;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;7;1;Brasília;cancelado
169514;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;15;4;Novo Gama;cancelado
169518;dia 6;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;16;3;Valparaíso de Goiás;cancelado
169530;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;0;0;Águas Lindas de Goiás;cancelado
169531;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;12;1;Brasília;cancelado
169534;dia 4;139.9;Ti5-BSB-FIBRA-300-MEGA_DESC20;9.0;3;2;Brasília;cancelado
169538;dia 9;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;8;2;Águas Lindas de Goiás;cancelado
169557;dia 5;139.9;TI9-FIBRA-300-MEGA_DESC20;9.0;6;2;Brasília;cancelado
169561;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;31;2;Águas Lindas de Goiás;cancelado
169565;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;19;2;Águas Lindas de Goiás;cancelado
169576;dia 9;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;6;3;Brasília;cancelado
169577;dia 5;109.9;Ti5-Combo-100-MEGA_DESC10;9.0;5;1;Águas Lindas de Goiás;cancelado
169603;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;24;3;Brasília;cancelado
169613;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;8.0;8;3;Novo Gama;cancelado
169618;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;6;2;Águas Lindas de Goiás;cancelado
169619;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;27;3;Luziânia;cancelado
169624;dia 5;139.9;TiLogBSB-FIBRA-300-MEGA_DESC20;9.0;5;2;Brasília;cancelado
169639;dia 4;169.9;TiLog-Combo-VIP-400-MEGA_DESC20;9.0;7;1;Cocalzinho de Goiás;cancelado
169646;dia 5;99.9;(Migrado - OBTI) 250MEGA - FTTH - NOVO GAMA;8.0;5;1;Novo Gama;cancelado
169650;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;26;4;Brasília;cancelado
169665;dia 9;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;8.0;6;3;Brasília;cancelado
169675;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;7;1;Brasília;cancelado
169684;dia 6;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;8.0;13;5;Valparaíso de Goiás;cancelado
169685;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;13;3;Novo Gama;cancelado
169689;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;8;3;Brasília;cancelado
169690;dia 7;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;8;2;Valparaíso de Goiás;cancelado
169719;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;4;1;Valparaíso de Goiás;cancelado
169731;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;8;2;Cocalzinho de Goiás;cancelado
169745;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;8.0;6;4;Novo Gama;cancelado
